word,polarity1,polarity2,polarity3
﻿不錯,-2,-2,-2
好,0,1,1
差,-1,-1,-1
方便,1,1,1
大,0,1,-1
小,0,-1,-1
乾淨,1,1,1
舒服,1,1,1
高,0,1,1
便宜,0,1,1
陳舊,-1,-1,-1
近,0,1,-2
一般,0,-1,-2
熱情,1,1,1
周到,1,1,1
舊,0,-1,-1
新,1,1,1
一流,1,1,1
爛,-1,-1,-1
安靜,0,1,1
豪華,0,1,1
整潔,1,1,1
糟糕,-1,-1,-1
貴,0,1,-1
舒適,1,1,1
遠,0,1,-2
寬敞,1,1,-2
快,0,1,1
惡劣,-1,-1,-1
漂亮,1,1,1
多,0,-1,-2
合理,0,1,1
免費,0,1,1
溫馨,1,1,1
少,-1,-1,-2
老,0,0,-1
失望,-1,-1,-1
不足,1,1,-2
簡陋,-1,-1,-1
髒,-1,-1,-1
良好,1,1,1
慢,-1,-1,-2
豐富,1,1,-2
齊全,1,1,1
清楚,-1,-1,1
低,-1,-1,-1
熱鬧,1,1,1
差勁,-1,-1,-1
實惠,1,1,1
親切,1,1,1
愉快,0,-1,1
冷,-1,-1,-1
簡單,0,-1,-1
普通,0,-1,-2
好吃,0,1,1
合適,1,1,1
超值,1,1,-2
偏僻,-1,-1,-2
快捷,-1,-1,1
晚,0,-1,-2
不便,0,-1,-1
特別,0,1,-2
明顯,-1,-1,1
嚴重,-1,-1,-1
滿意,1,1,1
一樣,-1,-1,-2
氣憤,-1,-1,-1
繁華,1,1,1
細心,1,1,1
棒,1,1,1
優雅,1,1,1
主動,1,1,1
昏暗,-1,-1,-1
美,1,1,1
早,0,-1,-2
恐怖,-1,-1,-1
生硬,-1,-1,-1
差不多,-1,-1,-2
理想,1,1,1
錯,-1,-1,-1
便利,1,1,1
優越,1,1,1
硬,-1,-1,-1
佳,1,1,1
專業,0,1,-2
冷淡,-1,-1,-1
冷漠,0,-1,-1
愜意,1,1,1
划算,1,1,-2
鬱悶,-1,-1,-1
老舊,0,-1,-2
正常,-1,-1,1
可惜,0,1,-1
破舊,-1,-1,-1
噁心,-1,-1,-1
這樣,-1,-1,-2
寶貴,-1,-1,1
強烈,-1,-1,-2
值得,0,1,-2
真誠,0,-1,1
足,1,1,-2
順利,1,1,1
重要,0,1,1
冷冰冰,-1,-1,-1
嘈雜,0,-1,-1
深刻,0,1,1
清潔,-1,-1,1
長,-1,-1,1
可怕,-1,-1,-1
不同,-1,-1,-2
暈,-1,-1,-2
容易,0,1,1
安全,-1,-1,1
重,-1,-1,-1
久,-1,-1,-2
禮貌,0,1,1
友好,0,1,1
離譜,-1,-1,-2
夠,0,1,-2
不好,-1,-1,-2
客觀,-1,-1,1
便捷,1,1,1
緊張,0,-1,-2
開心,0,0,1
豐盛,1,1,-2
黑,-1,-1,-1
誠摯,-1,-1,1
可惡,-1,-1,-1
優美,1,1,1
誠懇,-1,-1,1
痛苦,-1,-1,-2
標準,0,-1,1
深,1,1,1
難聞,-1,-1,-1
亂,0,-1,-1
潮濕,-1,-1,-2
實用,1,1,1
難吃,-1,-1,-1
大方,1,1,1
可以,0,1,-2
美麗,1,1,1
還好,0,-1,-2
整齊,1,1,1
巨大,-1,-1,-2
狹小,-1,-1,-2
最好,1,1,1
直接,-1,-1,-2
刺鼻,-1,-1,-1
典型,-1,-1,1
細緻,1,1,1
可愛,0,1,1
濃,-1,-1,-2
最差,-2,-2,-1
可笑,-1,-1,1
薄,-1,-1,-1
完善,0,0,1
客氣,0,-1,1
相同,-1,-1,-2
吵,-1,-1,-2
熱,-1,-1,1
臭,-1,-1,-1
認真,-1,-1,1
實在,-1,-1,1
旺,1,1,1
寬,0,1,1
升級,1,1,-2
仔細,-1,-1,1
無奈,-1,-1,-2
不得了,-1,-1,-1
清新,1,1,1
模糊,-1,-1,-1
很好,-2,-2,-2
複雜,0,-1,-1
足夠,1,1,-2
冰冷,-1,-1,-1
完美,0,1,1
陰暗,-1,-1,-1
驚喜,1,1,1
詳細,-1,-1,1
無理,-1,-1,-1
怪,0,1,-1
濃重,-1,-1,-2
衛生,0,-1,1
具體,-1,-1,-2
美好,0,0,-2
忙,-1,-1,-2
友善,1,1,1
相當,0,-1,1
明亮,1,1,1
憤怒,-1,-1,-1
好用,-1,-1,1
奇怪,-1,-1,-2
幽靜,1,1,1
有名,1,1,1
緊,0,-1,-1
美中不足,1,1,-2
透明,-1,-1,1
太差,-2,-2,-2
對,-1,-1,1
壞,-1,-1,-1
高級,-1,-1,1
實際,-1,-1,1
不斷,0,-1,-2
強硬,-1,-1,1
先進,1,1,1
適合,1,1,-2
不遠,1,1,-2
瘋狂,-1,-1,-1
感動,1,1,-2
溫暖,1,1,-2
可憐,-1,-1,-1
清爽,0,1,-2
及時,1,1,-2
軟,0,0,-1
同樣,-1,-1,-2
不耐煩,-1,-1,-2
過分,-1,-1,-2
很多,0,1,-2
髒兮兮,-1,-1,-1
難,-1,-1,-1
健康,1,1,1
貼心,1,1,-2
怎樣,-1,-1,-2
發霉,-1,-1,-2
強,-1,-1,-1
亮,-1,-1,1
嚴格,-1,-1,-2
麻煩,-1,-1,-1
清晰,0,0,1
好看,0,0,1
如此,-1,-1,-2
不值,-1,-1,-2
可口,0,0,1
混亂,-1,-1,-1
糟,-1,-1,-1
偏遠,-1,-1,-2
潔淨,1,1,1
對了,0,1,-2
踏實,0,1,1
尷尬,-1,-1,-1
怎麼樣,0,-1,-2
太多,-1,-1,-2
急,0,0,-1
迷你,-1,-1,-2
勤快,1,1,1
齊備,1,1,1
單調,1,1,-1
準確,0,0,1
厲害,0,0,-1
蠻橫,-1,-1,-1
精緻,1,1,1
濃烈,0,-1,-2
新鮮,0,1,1
錯誤,-1,-1,-1
白,-1,-1,-1
困難,-1,-1,-1
合作,-1,-1,-2
奢華,0,-1,-1
勉強,-1,-1,-1
自然,0,0,1
爽,-1,-1,1
黑乎乎,-1,-1,-1
深深,1,1,-2
難受,-1,-1,-1
清清楚楚,-1,-1,-2
悶熱,-1,-1,-2
出現,-1,-1,-2
絕對,-1,-1,-2
高興,1,1,1
特殊,0,-1,-2
不爽,-2,-2,-1
很少,0,-1,-2
氣派,1,1,1
一塌糊塗,-1,-1,-1
沒用,-1,-1,-1
出名,1,1,-2
髒亂,-1,-1,-1
不適,-1,-1,-2
斑駁,-1,-1,-2
行,0,1,1
嚇人,-1,-1,-1
努力,0,-1,-2
還可以,1,1,-2
豪,0,-1,-1
匆忙,0,-1,-2
不行,-1,-1,-1
危險,1,1,-1
清涼,1,1,-2
出奇,-1,-1,-2
難得,0,1,-2
粗糙,0,-1,-1
破,-1,-1,-1
殘,-1,-1,-1
成功,-1,-1,-2
低劣,-1,-1,-1
慎重,-1,-1,1
涼快,1,1,-2
忠實,0,-1,1
費勁,0,1,-1
現代,1,1,-2
相對,1,1,-2
不幸,0,-1,-1
牽強,-1,-1,-2
多元,-1,-1,-2
暖,-1,-1,-2
相關,-1,-1,-2
污漬,-1,-1,-2
基本,0,-1,1
過時,1,1,-1
有效,0,-1,1
吸引人,1,1,-2
破爛,-1,-1,-2
小小,0,-1,-2
穩定,-1,-1,1
極好,1,1,1
自動,-1,-1,1
竣工,1,1,-2
慇勤,1,1,-2
通風,-1,-1,-2
一致,0,1,1
超大,1,1,-2
偏,0,1,-1
賓至如歸,1,1,-2
潮,-1,-1,-1
值,1,1,-2
厚實,1,1,-2
適中,1,1,-2
傲慢,-1,-1,-1
有意思,0,1,1
不多,-2,-2,-2
堅決,-1,-1,1
絕佳,1,1,1
辛苦,1,1,-1
響,0,0,-2
真實,-1,-1,1
極差,-2,-2,-2
慘,0,1,-1
寬大,1,1,1
怪異,-1,-1,-2
紅,-1,-1,1
衷心,0,-1,1
細小,-1,-1,-1
好好,-1,-1,1
眾多,1,1,-2
完備,1,1,1
暢,-1,-1,-2
較多,-2,-2,-2
幸運,1,1,1
優質,0,1,1
不少,0,0,-2
ok,-2,-2,-2
誇張,-1,-1,-2
很大,-2,-2,-2
癢,-1,-1,-2
優良,1,1,1
發黃,-1,-1,-2
物超所值,1,1,-2
最多,-1,-1,-2
專門,1,1,-2
涼,-1,-1,-1
有種,-2,-2,1
突出,1,1,1
貴重,0,-1,1
無煙,0,-1,-2
真,-1,-1,1
不良,-1,-1,-1
地道,1,1,1
人性化,1,1,-2
倒霉,-1,-1,-2
藍,1,1,-2
很差,-2,-2,-2
唯一,0,1,-2
在一起,-1,-1,-2
濕,0,0,-2
尚可,-1,-1,-2
無比,-1,-1,-2
短,0,-1,-2
時尚,1,1,1
頻繁,0,0,-2
開始,-1,-1,-2
不符,-1,-1,-2
舒暢,1,1,1
較少,1,1,-2
撲鼻,-1,-1,-2
有趣,-1,-1,1
不佳,-1,-1,-2
滑,1,1,-1
經濟,0,-1,1
備用,-1,-1,-2
甜美,1,1,1
飽,0,-1,-2
寬闊,1,1,-2
莫名其妙,-1,-1,-2
窄,-1,-1,-1
上當,-1,-1,-2
停電,-1,-1,-2
感冒,-1,-1,-2
嚴肅,0,-1,-1
小氣,-1,-1,-1
小心,-1,-1,1
喜歡,0,1,1
大失所望,-1,-1,-1
累,0,1,-2
黃,-1,-1,-2
漏水,0,-1,-2
大大,1,1,-2
狹窄,1,1,-2
準時,-1,-1,1
明白,-1,-1,1
關門,0,1,-2
自助,0,-1,-2
開通,-1,-1,1
清澈,1,1,1
滿,0,1,-1
要命,-1,-1,-2
很美,-2,-2,-2
那樣,0,-1,-2
國營,-1,-1,-2
無敵,1,1,-2
較大,-2,-2,-2
熟練,1,1,1
敬業,1,1,-2
不理,-1,-1,-2
丟人,-1,-1,-2
完整,-1,-1,1
好笑,-1,-1,1
骯髒,-1,-1,-1
太少,0,1,-2
隨便,-1,-1,-1
好玩,1,1,1
馬馬虎虎,0,-1,-1
入睡,-1,-1,-2
算了,-1,-1,-2
敏感,1,1,-2
輕鬆,-1,-1,1
冷清,-1,-1,-1
斑斑,-1,-1,-2
過得去,0,-1,-2
進步,0,0,1
中式,1,1,-2
亂哄哄,-1,-1,-1
擁擠,0,0,-1
年輕,0,-1,-2
意外,1,1,-2
耐心,0,1,-2
積極,-1,-1,1
無語,-1,-1,-2
獨立,0,1,-2
舊了,-2,-2,-2
可氣,-2,-2,-2
熱心,1,1,1
煩,-1,-1,-1
鬧中取靜,1,1,-2
怎麼,-1,-1,-2
驕傲,1,1,-1
理直氣壯,-1,-1,1
真正,1,1,1
灰暗,-1,-1,-1
優惠,0,-1,1
生氣,-1,-1,-1
有禮,1,1,1
是,0,-1,1
正宗,0,-1,1
無所謂,-1,-1,-1
散,0,-1,-1
不堪,-1,-1,-2
可能,0,-1,1
壓抑,-1,-1,-2
不如,-1,-1,-2
推薦,0,-1,-2
製冷,-1,-1,-2
高速,0,-1,-2
尖,1,1,1
故障,-1,-1,-2
必要,-1,-1,1
悶,-1,-1,-1
窩心,1,1,-1
宜家,-1,-1,-2
太小,-2,-2,-2
一應俱全,1,1,-2
發黑,-1,-1,-2
訂,0,-1,-2
定,0,-1,1
低級,-1,-1,-1
體貼,1,1,-2
遠遠,-1,-1,-2
死,-1,-1,-1
總,0,-1,-2
般,-2,-2,-2
剝落,-1,-1,-2
面無表情,-1,-1,-1
明確,-1,-1,1
掉,-1,-1,-2
固定,-1,-1,1
確實,1,1,1
不夠,-2,-2,-2
將就,-1,-1,-2
有些舊,-2,-2,-2
不周,-1,-1,-1
瀰漫,-1,-1,-2
漏,0,1,-2
驚訝,1,1,-1
華美,-2,-2,1
沒有用,-1,-1,-2
全,-1,-1,1
正規,-1,-1,-2
不到,-2,-2,-2
很小,-2,-2,-2
睡著,-1,-1,-2
舊舊,-1,-1,-2
懶,-1,-1,-1
怎麼辦,-1,-1,-2
清,-1,-1,1
太晚,-1,-1,-2
愣,-1,-1,-1
相應,0,-1,-2
中規中矩,1,1,-2
剛好,0,1,1
有味,-2,-2,1
平安,-1,-1,1
沒得說,1,1,-2
漫長,-1,-1,-2
不清,-1,-1,-2
值錢,-1,-1,1
暖和,1,1,-2
不高,-2,-2,-2
難看,1,1,-1
流暢,1,1,1
不住,-2,-2,-2
很髒,-2,-2,-2
價廉物美,1,1,-2
主要,0,1,1
變態,-1,-1,-1
愚蠢,-1,-1,-1
有理,-1,-1,1
虛假,-1,-1,-1
寫意,1,1,1
正確,-1,-1,1
關鍵,-1,-1,1
同行,-1,-1,-2
樸實,1,1,1
浪費,0,-1,-2
少見,-1,-1,-2
暗,-1,-1,-1
合算,1,1,-2
遺漏,0,-1,-2
如意,0,-1,1
荒涼,1,1,-1
無話可說,-1,-1,-2
和藹,1,1,1
合格,0,-1,1
要好,0,1,-2
酸,1,1,-1
遠大,1,1,1
老化,0,-1,-2
發燒,1,1,-2
兩樣,-1,-1,-2
說得過去,1,1,-2
遺憾,1,1,-1
公共,-1,-1,-2
一定,0,-1,1
空,-1,-1,-1
您好,0,-1,-2
徹底,-1,-1,-2
通,-1,-1,1
彬彬有禮,1,1,1
預定,-1,-1,-2
不見,-2,-2,-2
牛,-1,-1,-1
不盡,-1,-1,-1
欣慰,-1,-1,1
相當好,-2,-2,-2
純,1,1,1
一次性,-1,-1,-2
四通八達,1,1,-2
多多,0,-1,-2
不大,-2,-2,-2
好找,-2,-2,-2
連鎖,-1,-1,-2
暈倒,-1,-1,-2
簡潔,1,1,1
到位,1,1,-2
火,0,-1,-1
價廉,0,0,-2
完畢,-1,-1,-2
西式,1,1,-2
不成,-1,-1,-2
負責任,-1,-1,-2
最高,-2,-2,1
崩潰,-1,-1,-2
清淡,-1,-1,-1
明,-1,-1,1
繁多,-1,-1,-2
省錢,0,1,-2
溫和,1,1,1
可取,-1,-1,-2
重視,-1,-1,1
吹風,1,1,-2
亂糟糟,-1,-1,-1
忙碌,-1,-1,-2
像話,-2,-2,1
很近,-2,-2,-2
讚,0,1,-2
典雅,1,1,1
吃飽,-1,-1,-2
冷冷,-1,-1,-1
快速,-1,-1,-2
廣大,1,1,-2
慘不忍睹,-1,-1,-1
清靜,-1,-1,1
到底,-1,-1,-2
寒冷,-1,-1,-2
相稱,0,1,-2
印象深刻,-2,-2,-2
涼爽,1,1,-2
充分,1,1,-2
正式,0,1,-2
靜,1,1,1
盡力,1,1,-2
無禮,-1,-1,-1
沒錯,-2,-2,-2
大型,1,1,-2
負責,0,-1,1
不貴,-2,-2,-2
滿足,0,1,1
同等,-1,-1,-2
規範,0,0,1
稍差,-2,-2,-2
適時,1,1,-2
四星級,-1,-1,-2
灰濛濛,-1,-1,-1
廉價,-1,-1,1
沮喪,-1,-1,-1
結束,0,-1,-2
豈有此理,-1,-1,-1
高高,1,1,-2
偏小,-2,-2,-2
相反,-1,-1,-2
繁忙,1,1,-2
別緻,1,1,-2
物有所值,-2,-2,-2
寧靜,1,1,1
完好,-1,-1,1
蠻好,-2,-2,-2
奢侈,0,0,-1
全新,0,1,1
忍無可忍,-1,-1,-2
作罷,-1,-1,-2
貴的,-2,-2,-2
安逸,1,1,1
苛刻,1,1,-1
樸素,0,0,1
柔軟,1,1,-2
窄小,-1,-1,-2
過高,-2,-2,-2
清明,-1,-1,1
霸道,-1,-1,-1
太冷,-2,-2,-2
手動,-1,-1,-2
激烈,-1,-1,-2
乾燥,-1,-1,-1
核實,0,1,-2
久遠,-1,-1,-2
陰冷,-1,-1,-1
壞掉,0,-1,-2
沒關係,0,-1,-1
恍然大悟,-1,-1,-2
五星級,0,1,1
名不虛傳,1,1,1
物美價廉,1,1,-2
說不過去,0,-1,-1
熱騰騰,1,1,-2
三星級,-1,-1,-2
十分方便,-2,-2,-2
經濟型,-1,-1,-2
一問三不知,-1,-1,-2
寸土寸金,1,1,-2
nice,-2,-2,-2
訓練有素,1,1,1
陳舊不堪,-2,-2,-2
興高采烈,1,1,1
金碧輝煌,1,1,1
