Serial,Aspect,Opinion(List)
1,服务,极差_
2,酒店,比较安静_还可以_
3,楼,点评_
4,热情,
5,酒店,容易找到_高速下来_
6,商务,不高_感觉_不了_
7,酒店,不好_漏风_排_住_
8,退房,慢_破_慢_服务_差_
9,携程,不能_吃_不带_定_评价_
10,酒店,满_有_觉得_还满_住_好像是_旋转_不错_服务_比较好_
11,长春,都冻醒_还没有_感冒_这样_就是_还好_还好_
12,交通,便是_最令_住_不到_实际上打车_开_40块去_不到_竟然收_失望_打_
13,星级,
14,房间,还住_优越_下次来_好_高_
15,房间,大_小_有_比较偏远_
16,天津,居然是_不如_演艺场_星级_穿_特别_在_到处是_享受_太乱_走动_星级_不像_不知道_
17,行政房,非常喜欢_下次去_延迟_好_给_是_非常不错_住_到_还会_新_退房_而且可以_免费升级_也方便_到_
18,房间,齐_全_小_
19,外观,还是打消_完_没法提_还行_洗澡_有_吃_不清_本来想_说_但是看_
20,酒店,是_停_找_五星_就是_不像_不好_是_不协助_像_不是_五星级_都走_不让_停车_不了_很理想_整体_
21,祠宾馆,没_很远_推荐_到_
22,酒店,不要_没有把_安静_传给_几乎相同_是_很清楚_都是_不知道_有_写_遇到_给_
23,房间,很干净_上网_也不错_很舒服_可以_住_照_说_进来_
24,日本人,料理_做_那么差_
25,设施,不干净_
26,房间,坏_问_还生_退房_让_是_说_没有_
27,酒店,没开门_送餐_告诉_还是_顺便问_客气_安排_到达_吃_吃上_可以_想_说_很晚_到_
28,热水,就是_洗_不是_过烫_完_比较糟糕_比较吸引_很不错_还可以_冷热_难调节_太冷_就是_
29,火车站,很近_长途_点餐可_有_至_打车_营业_起价_就到_出_免费送_是_便是_
30,行政,巨大_别提多_叫_出来_是_难忘_用_靠_难受_不制_总感觉_在克制_有_是_会_道铺_五星级_脏乱_影响_再换_没有_住_真是_不知_在装修_还有_送餐_故意让_吐_竟让_要求_最让_一直敞着_长途打回_
31,星,一般_不是_
32,宾馆,寒冷_相当好_已经停用_也算_优惠_就退房_竟然停用_是_原本预定_是_求证_住_度过_才知道_
33,饭店,比较老_还是可以_
34,酒店,不知道_没_让_起来_真的感觉_超级_烧_不知道_腊燃_评上_采用_明亮_感觉_不是_做_用餐_食_再次补充_是_早上_有_不好_好像是_加热_加温_就能够_保温_叫_真是_很浓_如下_请_仍然是_不是_都希望_弄_
35,酒店,直接去_比较小_不错_有点旧_游泳_可以_
36,如家,略差_产权式_不熟悉_强_是_不知道_对_后来得知_有_要_没有_
37,当地,最好_有_
38,酒店,
39,现金,不及时_打扫_
40,酒店,去_不错_还会_服务_不错_好_
41,服务,很好_提出_很快_对应_就有_
42,设施,有点老化_漱用_配_取静_毕竟是_洗_闹_
43,特价房,隔_相同_出来_很差_就是_才去_临近_主要考虑_听见_做事_很清楚_走到_在_非常小_不隔音_用_基本是_排出_都能_见面_住_还有_
44,酒店,改点_喝_说_不敢_但生_没有_应_却有_就要_有_应_不新鲜_非要_非常差_炒_有_较贵_上_声称_炒_说_很远_没有_光打_
45,贵宾楼,最大_是_考虑_很周到_筛选_都铺好_送_
46,隔音,说话_比较差_一清二楚_
47,酒店,不喜欢_都要_有_被_说_接受_隔_不干净_极差_太差_还可以_其次CHECK-IN_有_可以_不会_对不起_傲慢_没有应_低下_呼来呵去_清洁_主要面向_首先酒店_投诉_强烈BS_不会_
48,酒店,临_入住_还是秉持_有_比较旧_较高_可以_
49,新昌,仅咫尺_点评_免费_不能_吃_最好_蛮有_是_住_非常好_太方便_不尝_
50,服务,还可以_好_
51,酒店,不成_只去_烧_不要_上去_很好_导致_计较_说_是_是_有待_为主_言下_没有_建议_说_突然断电_订_有_入住_泡_有_又说_是_便宜_入住_居然推托_不要入住_用_湿_还可以_弄_热水机烧_
52,蚊子,洗脚_大_快疯掉_问_大_有_吵_有_改进_真的要_
53,酒店,过来_住_办事_都是_不是_过来_尤以奇瑞_居多_很方便_来_较远_地处_
54,总体,得到_一定_有_很好_方便_可以_
55,春节,接手_太小_是_不接_那么舒服_不计较_即退_还是_有点五星_是_只有_背_很有_特价_豪华_换_喜来登_看_不知道_大_还行_平时价_怎么设定_不值_有_
56,房间,正在清理_
57,山上,最好_很不错_
58,上海,肯定会_来_没有看到_住_也是_也是_起_再来_非常好_高_感觉_非常遗憾_对_
59,酒店,很差_很陈旧_也坏掉_
60,价格,看到_同时结账_是_
61,照片,无_更便宜_实际上有_太小_好_不符_
62,酒店,有待_很好_是_预订_很好_常被_可以_还有_略显不足_司_符合_惊醒_很好_入住_有些狭小_入住_严重_入住_落地_非常值得_就是_有_改进_是_很好_俯瞰_不是_尊贵_高架_
63,酒店,在施工_就开始_不告诉_反馈_还有_干活_是_算_睡_非常贵_更可气_吵_入住_应该_非常感谢_不好_
64,酒店,可以_不错_还是不错_很热情_太好用_看到_就是_
65,酒店,均差_太差_
66,酒店,比较陈旧_较贵_算是_
67,酒店,不上_配_
68,楼,只看到_
69,酒店,可以_接受_还算_又旧_又脏_
70,店,还可以_考虑_下次入住_比较值得_
71,服务,要求_照成_诬陷_恶劣_不干净_不好_赔偿_
72,酒店,实在不怎么样_还行_不错_
73,网站,IN_是_差_装修_不住_预定_大床_整理_后来给_完全对_陈旧_变成_住_调换_不错_不会_
74,无锡,如下_不是_干净_捡后_马上送回_回来_住_感觉_可_液镜_很难得_掉_入住_赞_都是_间接提升_很贵_还有_是_配制_粗心大意把_最值得_
75,房间,热水_室内_强_舒适_不够_不大_出来_温和_软_洗澡_没吃_刚去_挺高_住_就有_老不再_松_做_放_尤其是_煎蛋_
76,服务,不足_很差_
77,水笼头,没坏_很细_到_但是破_无法想象_
78,名,星级_太大_不副实_所谓_
79,房间,很好_很近_
80,时候,直接说_下次肯定_很吵_太差_没有带本本_不住_说_不开_打开_换_真的是_就是_失望_都是_有_就是_所以住_真的是_坚决换_
81,床,
82,拱北,不错_太小_好_豪华_
83,物,没有_充点评_好_适中_全包括_位于_一样_如前_有所值_早餐一般.补_小_新_不好_齐_服务_好_而喧闹_但是临_
84,酒店,
85,房间,打到_干净_是_没洗_打到_有_要求_真是_不负责_只能_铺上_送来_接_换_说_下班_只能_没_铺_不明_好_而且有_铺床_
86,网上,做_插座_害得_算有_领到_正义路跑_不会_才预订_以后是_却没有_大_不去_找_用_多_全是_送_并续_不能_都是_找人_遗留_走_出来_完_洗_简直是_预付_被_进去_有_让_带粘_到_都有_困难_太夸张_说_淋浴没有_慢_是_一定要_都有_也散_住_要_只好打_很脏_刷_还有_都要_不能_想_都要_还有_去_开窗_查_好_后大失所望_洗_太失望_就是_不能_只想_用_去check-in_刷卡_结_不要_再去_竟说IT人_铺块_说_以便能_难打开_没找到_不会_开_绕_还怕_结果去_最夸张_不想_挂_就塞_很破_才了解_拿_休息_很大声_
87,价格,太好_不是_还不错_
88,大堂,快捷_高_
89,酒店,就订_都有_觉得_不错_看到_
90,价格,适中_还可以_
91,朋友,找来_相信_没有换_喝_拉掉_最终解决_令_就铺上_要求_补充_出来_染_好好检查_好像是_就想_可乐时候喷_例假_惊讶_折_恶心_一下有_要求_吐_这么做_也够_完全能_没有_高出_发生_无法消除_要求_检查_说_简单_去_是否是_就是_赔偿_简单洗完_打_点评_多么让_再入住_住_买_有_发现_带_不是_看_有点过火_请_表示_结账_是_把_无法容忍_就能_定_说_就是_睡_不说_出来_就急_是_前_说_摆平_不开心_染_是_绝对是_大_失望_是_一看_有_竟然有_一起去_
92,时候,强调_就是_发现_住在_不要_休息_
93,酒店,给_被_接_之后派车_真好_截_
94,诚信,有_
95,4星,要_才来_热水_
96,房间,又薄_很差_不阻_都没有_居然连_还是豪华_
97,房间,不成_小型_液晶_宽敞_很干净_挂_淋浴_没有_只能_
98,酒店,稍好_雷到.换_会_不会_是_差点被_补充_好像没_赶上_过高_退房_严重影响_吃_有_甲_回来_健康_砍价_点评_入住_开门_熏倒_吃_刚开门_留下_要_有_再次被_刚住完_
99,酒店,完全没有_回来_差_没有接到_要_可以_太差_实在是_不负责任_住_没有接到_上_实在是_说_打_还好意思_说_说_不要_到_接_无法联系_不说_晚点_随便住_到_订_可能_是_打_说_建议_完全是_说_打_没有接到_打给_还答应_
100,服务,最多_进来_不到_对_一眼瞥见_更贴切_不闻_特别是_写道_没说_还叫_没吃_不出_要_不要浪费_只能_看_结束_不问_完_实在找_就没_用餐_是_不起_就是_基本看_欢迎_说_用_超出_吃好_再来_形容_
101,房间,大概是_陈旧_很小_
102,服务,还可以_还不错_
103,脸,建_结果是_而且放洗_透_处在_发液_只有_是_可想而知_左肩膀靠_最好_开业_也小_靠_还可以_排水_都没有_坐_还是_不畅_住_可怜_想_本来是_卫生间糟糕_
104,房间,尚可_很大_还满意_
105,朋友,看_结果是_去_打算_预订_结账_硬说_少_数错_来_只好上去_
106,房,很嘈杂_好找_只是_有_才找到_找_
107,描述,不是_不住_终于消费_错误_是_折腾_差不多_成功_退房_搞_高级_圆_不清_将预授权_消费_转为_一样_打死_竟然有_的确是_应该_是_要_是_不停_红色_
108,地址,服务_糟糕_不到_上当_错误_
109,小姐,实在烂_烂_怎么说_推荐_
110,标准,低_有_不怎么_
111,交通,方便_是_也热闹_总的说来是_有所_自然_
112,酒店,还是跑远_奉劝_
113,服务员,准备_让_很热情_十分温馨_体贴_5:00离开_感到_
114,狗狗,告知_说_进去_带走_不能_迟_一点会_交给_
115,风格,得到_是_有_优秀_住_相差_灰色_好远_很脏_不会_快捷_没有_是_很浓_就是_是_再住_
116,周边,也有_感觉_发霉_喝_怎么干净_冷水_使_使用_很湿_变_淋_连放冷水_比较小_看到_怎么好_不远_有_不敢_上当_不好_没敢_很远_出行_脏_开_很静_很方便_有_容易漏水_逛_不方便_综合_
117,四星,不会_真的让_再住_最多_简易_大失所望_就相当于_
118,酒店,携程_介绍_挖_简单_很差_补充_没有_是_说话_恶心_最差_大_点评_大_坐_大_
119,技术区,唯一_不起_很不错_星级_感觉_
120,当地,算是_出差_都会_比较好_每次去_住_
121,绿树,没_太起劲_知_要_才休息_幽静_醒来_俄式_叫_就是_就有_说_
122,交通,很近_很便利_
123,贵宾,入住_说_没_服务_值得_
124,朋友,强烈要求_有_预定_想_真的有待_这么倒霉_才罢休_不见_服务_可能_不是_担心_有线_预定_都会_问_就纳闷_动用_
125,房间,是_小_恶意_差_最可恶_变相_不便_
126,标准,每次去_是_还可以_可以_贵_不错滴_很方便_过_都住_
127,设施,差_感觉_打扫_没见_住_没有_点评_补充_高_
128,酒店,较硬_还不错_较小_就是_
129,中餐厅,一般_小_不是_没有_没_很一般_去_没有_
130,九洲,没别_换到_感觉_太大_号称_
131,保定,说_给_最好_是_加分_应该_
132,差差差,几乎等于_太差_大_有_太差_极差_有_
133,汉庭,有余_订_高级_是_是_产生_新_快捷_入住_不清楚_至今困扰_已记_
134,标准,不错_服务_较大_
135,住房,乱哄哄_差无比_要_布置_
136,中银,非常好_
137,老鼠,选_说_后来看到_重新装修_还是_
138,门面,也小_不熟悉_太小_有待_
139,房间,小_大_有_比较偏远_
140,酒店,吓_住_只能_不好_昏暗_不过床_经济型_淋浴_蛮干净_很大_一跳_感觉_住_搞_进屋_太旧_
141,人,失望_
142,酒店,携程_确实有_
143,卫生间,好像要_什么没_要_太贵_是_免费办理_办理_差_知_就是_
144,卫浴,可洗澡_简陋_不热_没有_
145,西宁,定_
146,老板,非常满意_不会_订_
147,酒店,挺方便_挺实惠_合适_符合_
148,酒店,仓促_有_不到_而订_方便_
149,设施,洗_闹_毕竟是_有点老化_取静_漱用_配_
150,环境,都不错_再来_也可以_还会_
151,酒店,都走_停车_不好_整体_是_不让_不了_就是_像_找_不像_五星_很理想_是_五星级_停_不协助_不是_
152,优势,是_十分方便_去_很近_坐_
153,拉萨,的确是_才发觉_偏高_同样_只需_
154,豪华房,还是_显得_有些陈旧_
155,酒店,小_很旧_就是_很小_
156,人,还满意_感觉_
157,差,叫_没热水_要_马上搬去_怎么会_说_还是_居然说_可考芦_是_没有_换_没热方_说_之前看到_有_不到_
158,外表,就进入_发霉_达到_冷汗_降级_不敲门_就应该_过_出_刷卡_就是_热水_不会_连刷_去_结账_刷_吓_浓重_只能_没有_还算_就没有_
159,酒店,缺乏_
160,电视,有_入住_滚动_比较温馨_感到_
161,房间,免费_想_有_又短_选择_参观_很近_去_可以_很快_
162,房间,还不错_太贵_发霉_有_还是_够大_
163,酒店,不错_很舒适_
164,携程,有_贵_
165,门口,有_好_
166,环境,很好_很好_特别是_很有_
167,优点,房送_很热情_很棒_就开工_非常好_稍有陈旧_不错_方便_极差_没有_不着_特地帮_完全睡_非常丰盛_送_都有_说话_吵醒_很快_比较有_从别出弄_还行_隔壁_没有_在装修_被_来_有_没有小_也算_
168,无锡,不错_看_住_
169,家人,得到_深感_开始_入住_后来细致_很快_积极_有_小_入微_
170,房间,很干净_已经是_很好_订_很丰盛_
171,酒店,是_入住_入住_推荐_可以_很多_比较好_
172,晚,
173,位置,吃饭_有_方便_
174,饭店,找_就去_甚至想_放置_试试_讲_让_唯一_就是_都成_说_不到_又找_方便_实在是_去_不得安生_不行_乱七八糟_可取_好不容易摆好_别说_可口_多样_值得_可怕_提_插口_不夸张_很困难_接连不断_没_
175,携程,入住_找_不知道_开车_却当头_协调_都挤到_睡_还好_等到达_被_没宽_复位_轰下_大_打_竟然说_还得_有_到_带_延长_较旧_严重影响_大_携程客服_比较通融_也有_带有_要_可积分_较脏_是_就没_怎么_休息_走_说_只好回来_不能_可以_把_没_缓慢运动_赶紧找_修没_预定_打到_才用_答应_都冷_封闭_不行_还没有_到_招待_住在_只有_都方便_整体_不挨_起来_浩浩荡荡开拔_不想_修_好_不能_拿_独立_带回_较小_中途_还好_有_有_客服_都有_没宽带_只带回_有_不是_私下转包_到_盖_多花_不起来_
176,酒店,很近_走_很好_过去_
177,酒店,达到_小_碰到_老_真是_非常爽_是_非常快_下载_住_
178,商务,蛮温馨_吃饭_但感觉_等_免费上网_不是_可能去_有_会_很大_就是_
179,地点,有点破旧_在使用_太偏僻_
180,代同事们,打_没想到_咨询_预订_不错_非常差_不耐烦_之前听说_到_
181,酒店,那样问_派人_结账_是否使用_非常难得_仍要_晶丽_收费_很不错_
182,房间,会_湿_没感觉_打电话_询问_湿_到_只是说明_是_都是_
183,酒店,很差_
184,房间,不来_越来越差_差点被_爬到_太差_住_经济型_强烈建议_快_出_锁在_累死_坏_考虑_不会_
185,预订,看_
186,南京,回来_良好_怎么乘车_该_安静_是_去_难叫到_下班_到_选_还算_不管_反复比较_感觉_接待_仔细介绍_是_都经过_挑_靠近_
187,友谊,更是_绝对是_让_心旷_
188,成都,绕_绕_结果10元_基本上没有_不严格_不好_不要_入住_出差_竟然给_才住_属于_不是_就会_发现_是_很远_
189,酒店,较近_叫_大约等_比较好_
190,商务,都放_应该_就上床_给_但是有_是_基本上是_怎么设计_不开_太小_是_不知道_是_是_进屋_看_估计_不到_挺大_
191,卫生间,出租车费_不错_算大_吗离_
192,朋友,让_就推荐_来_想想_离_
193,酒店,成_梦得_吸引_叫_一问三不知_起_
194,房间,没有_都可以_一碰_听到_总控制_巨大_把_没有_便会_整个脱落_
195,房间,还是_良好_明亮_整洁_比较舒适_
196,家,定_实在是_还没有_结果小_再小_太差_不能_所谓_
197,感觉,都达到_就是_有_比较好_
198,金府,改建_是_应该_成_
199,风格,住_不会_没有_相差_优秀_就是_好远_是_得到_灰色_很脏_是_有_再住_是_很浓_快捷_
200,轿车,
201,房间,大吉_还少_点要_黑_很赃_有_都是_好像有_难吃_关门_
202,商务,够大_
203,旅馆,被_没有_让_到_宰_吃饭_
204,房间,很丰盛_很好_很干净_已经是_订_
205,酒店,不能_才能_最美_取静_挡_住_白渡桥_很全面_很是_看_适合_不错_也是_看_到_在所难免_不够_下次要_得23_住_闹_陈旧_看_很大_一直可以_看到_很美_安静_很不错_来_算_高_有_但是起码_有_正好有_真正_看_可能_全_有_还会_
206,交通,偏贵_靠近_上网_干净_安静_舒适_
207,饭店,是_差_打_非常适合_比较困难_达标_比较简单_服务_
208,拱北,太草率_还不错_好_豪华_不好_不错_服务_太小_
209,饭店,比较简单_达标_打_比较困难_差_是_服务_非常适合_
210,房,一般_服务_较好_太厚_超热_睡觉_没见到_
211,房间,明显骗_搬_要求_还说_换_没有_太脏_没有热水_说_不住_说_坏_回答_不了_说_明确告诉_修理_都没有_走_
212,商务,还可以_很好_很热情_就是_比较人性化_不是_简单_很好吃_
213,酒店,很舒适_不错_
214,酒店,很差_太烂_是_大型_
215,老楼,很新_感觉_冷_改建_没有_
216,酒店,丰富_很规范_
217,酒店,极其不便_较差_
218,香港,取消_是_想_携程_不可以_本想_取消_只好冒雨_打_说_去_黑色_之前给_挂_
219,国庆,特别吵_住_
220,房间,太重_陈旧_单上有_
221,酒店,
222,酒店,还是给_才得以_更换_入住_太大_安睡_强烈要求_靠近_答应_
223,地理,就是_紧挨_有点闹心_还看_是_直接饮用_强_很方便_有_可以_
224,房间,太多_不好_
225,手续,又回前_换_订_没抬眼_没抬_却是_一直掉_办完_
226,酒店,休息_陈旧_不隔音_小_
227,房间,可以_有_打_整洁_有点大_都好_上网_
228,洛阳,也可以_服务_还是不错_也不错_
229,星,有损_不要_未挂牌_
230,上面,有些不安_
231,地段,适合_不错_小_
232,房间,都好_有_上网_整洁_打_可以_有点大_
233,酒店,注意_要_不能_淋浴水_加收_吃饭_是_去_比较小_大约要_延迟_否则要_只能_小休_走_要_不满意_
234,价格,一般_入住_更好_完全可以_说_住到_建议_不满意_有_不要_完全隔开_入住_不方便_
235,酒店,小_还不错_也可以_
236,价格,不上_不会_都没有_很差_糟透_很差_很脏_好_再考虑_说_用_有_订_上网_坏_昏暗_包括_是_
237,酒店,打开_有_看见_小_可以_
238,酒店,挂_有_
239,房间,非常好_一直用_
240,酒店,每次冲_掉_很宝贵_浪费_应该_还是_不能_是_还可以_不断_出现_自动_就是_有点旧_坏_节约_用_就把_流_
241,拱北,不错_不好_豪华_还不错_太小_好_太草率_服务_
242,酒店,直呼其名_还臭_违章_到_应该_是_买_说_住_只能_到_是_是_用_所谓_只有_登记_甚至可能_是_洗_一看_很小_成_在叫_后续改建_
243,保定,给_加分_是_说_应该_最好_
244,酒店,可以_吃饭_也没_比较偏_是_
245,房间,也没有_进出_居然小_要_洗_相当差_是_说_大_直接排到_全是_开门_澡弄_
246,酒店,吃饭_是_可以_比较偏_也没_
247,酒店,比较陈旧_较贵_算是_
248,酒店,服务_优越_不错_很好_
249,老外,还会_值得_说_就好_希望_订_是_不错_住_来_住_再便宜_能_再谈_太高_
250,房间,很近_很好_
251,彭年,很多_不方便_停车_有_感觉_差_尤其脱离_太处于_
252,时候,都不错_非常好_入住_
253,脸,还可以_卫生间糟糕_处在_坐_想_最好_发液_排水_可想而知_不畅_可怜_透_也小_靠_建_是_还是_结果是_本来是_都没有_住_左肩膀靠_而且放洗_只有_开业_
254,服务,很好_
255,长寿路,于是订_最差劲_办事_美化_住_是_却是_没有_
256,位置,有_老旧_还好_很大_很好_有_较小_
257,大床,理论_最值得_非常好_肯定_免费长途_是_去_１００元_没_是_去_多要_来_是_太小_要_
258,房间,不好_
259,酒店,小_说_普通_差不多大_结果安排_如何让_是_安心休息_如何区分_
260,事,不如_看_看_很少_自顾自聊天说话_童似_不见_也没有_
261,酒店,星级_无法忍耐_不会_很差_还贵_差远_服务_属于_住_
262,前面,下来_拍_都是_把_插_不新鲜_要_说_没有断_才起_这么做_是_最搞笑_
263,房间,就是_很干净_不算是_找_特别好_
264,总体,这么长_不错_去_在改建_扩建_还行_都是_就打_
265,酒店,是_比较一般_很好_不满_改进_不是_比较令_不理想_能够_希望_
266,环境,看看_就是_去_不远_可以_不错_无聊_
267,酒店,没有达到_
268,酒店,租给_满_太有_续房_订_说_没有_就把_没走_要_
269,价格,看到_是_同时结账_
270,酒店,有_还不错_太多_无法入睡_
271,装修,不错_都是_新_
272,桥,不住_
273,地角,打车_结果说_不着_很方便_宁愿加_淋浴_后改造_是_是_不贵_脏渍斑驳_很阴冷_很烂_来_堵_全是_安排_不知道_还是_不着_似乎是_先洗澡_步行_闪闪发亮_恶心无比_只有_也是_是_太冷_住_配套_怎么_吃饭_
274,南山区,吵_住_方便_都有_还算_就是_稍微有_办事_
275,酒店,爱_下楼_计算_很多_搭_连亲_不理_太差_还有_见_这样_要_是_上下班_不会_再住_
276,酒店,小_一拐_没有_很温馨_到_就看到_晚点_
277,装修,新_都是_不错_
278,位置,预期_只能_没有_差_尚可_要_远远看_
279,火车站,较远_不利于_还是不错_
280,酒店,但生_应_有_没有_炒_光打_就要_上_炒_不敢_声称_非常差_没有_不新鲜_有_很远_却有_非要_说_改点_较贵_应_说_喝_
281,房间,超大_总_
282,房间,只能_都是_不会_调节_因此感冒_不灵_廉价_睡_关掉_布置_非常一般_再去_是_简约型_极冷_
283,服务员,吃饭_说_成心坑_收拾_回_离开_问_准备_
284,硬件,下次到_还会_选择_也不错_住_不错_
285,酒店,很好_
286,酒店,少_紧张_有_不错_停车_很好_停车位_就是_
287,汤口,无疑是_
288,酒店,送到_感谢_吃完_要_小包留_将包_很感谢_打_很高_特别要_表扬_很快_大_遇到_总_很满意_
289,酒店,都有_比较乱_
290,宾馆,可能_会_首先感谢_提出_带来_潮湿_让_开业_还说_不足_睡_入住_觉_有_停业_反馈_较大_深感_不着_暖和_冷_凉_高_
291,饭店,还是可以_比较老_
292,卫生间,不方便_有_打_要_走_偏贵_招呼_
293,时间,进行_告诉_只有_到_预定_没有进行_预定_
294,南山区,还算_方便_吵_稍微有_都有_办事_住_就是_
295,酒店,比较有_很好_不错_
296,酒店,飞常好_不能_理解_免费上网_很大_装_不提供_修_是_
297,交通,还说_过去_宽敞_比较干静_
298,经济,不值_是_浓厚_一开门_进去_会_可能_更好_且无_
299,酒店,很棒_太符合_提供_还要_还是不错_收费_不愧是_就是_上网_
300,星,很整洁_相当不错_
301,房间,只能_睡_简约型_都是_极冷_布置_不会_关掉_是_廉价_再去_调节_因此感冒_不灵_非常一般_
302,海兴,还可以_差_去_一般般_
303,夜,
304,服务员,有_赞_
305,酒店,差_是_看海_很进_太多_不好_很旧_太制_很好_太脏比三亚_很美_很响_很晒_就是_到处是_好难吃_
306,价格,可以_出差_提供_就找到_还不错_住_只能_容易找_开车_去_建议_很准确_不错_住_不是_
307,地下,骗_是_不说_独立经营_当然应该_要_加房_
308,房间,太多_不好_
309,家,硕大_关心_来_好_一看_较重_没整理_建议_要_下来_可以_在于_登记_不是_最差_碰到_较小_也没_说_是_又是_蹿_灭绝_倒无所谓_入住_入住_能_等_主动去_实在扫兴_顶掉_回去_块掉_闹鼠患_也罢了_通知_小_下来_掉_吊_问_又爬_
310,服务,也高_很好_位于_
311,飞机,不住_伸_差点热_透气_死_都没有_所谓_免费请_碰到_全订死_只有_出去_太恐怖_能_住_只能_都要_都贴_
312,酒店,更好_算满意_不算_同等_还有_高_应该_
313,行政,想_或许装修_更能_选择_有时要_达_有_以下_等_感谢_还算方便_需_宝贵_严重泛黄_仍有_满意_较久_久有_较久_简易_不远_反馈_还算_就是_不方便_提供_中_共享仅_符合_能_是_套房_有_给予_
314,地理,恭维_靠近_不敢_
315,发水,自备_也要_
316,日本人,料理_那么差_做_
317,天府丽,不错_都喜来登_
318,客户,比较方便_一样_接送_到_比较好_比较满意_临近_
319,价格,糟糕_很小_不低_感觉_早餐难吃_不高_
320,酒店,接机_服务_不设防_蛮有_让_租车_扎进_
321,酒店,差_不热情_对待_
322,酒店,6F_很漂亮_毕竟是_免费开放_很是_看员_有_有些旧_很；_住_免费_不错_可以_看海_住_漂亮_一边可以_有_开业_免费_惹_
323,市内,才发现_打车_不过到_不错_要_比较满意_偏远_
324,期间,到_还是_一看_一样_订_豪华_位_开阔_还放_豪华_
325,瑞吉,首选_很讲究_是_非常舒服_最好_红塔是_老_
326,房间,就换_很旧_很差_
327,春节,还算不错_实现_能够_这样会_入住_非常到位_吸引_希望_
328,服务,很差_就走_才能_打开_叫_开_开_相当_需要_主动提_把_而没_
329,桐城,进去_不好_走_要_好找_打车_
330,酒店,入_住_比较简陋_贵_太有_
331,房间,还要_就休息_太差_在震_接_不好_
332,月阁,建议_又小_又好_都没_住别_又好_都是_太多_放_只有_失望_把_留着_更好_可以_又大_说_敢_便宜_写_去_玩_又便宜_提前预定_
333,酒店,很不错_很好_
334,设施,不敢_是_恭维_很一般_
335,设施,服务_可以_
336,人,太远_新_不方便_小且有_
337,当地,有_最好_
338,房间,居然收费_人工_打死_再住_
339,性价比,背_太认识_就算_不是_有_很方便_可以_又是_
340,酒店,耽误_换_不出_永远发_打_太差_不开_
341,酒店,赣电_勉强入住_定_不到_
342,交通,让_好_去_旧_便利_吃_订_吹毛求疵_可能_矩_随便叫_能够_显得_out_能够_有_明确_再见_给予_说_也是_超过_未收到_似乎有_出_很诚恳_可以_很大_几乎没_值得_过_类似_肯定知道_叫_比较深_再见_相比_最差_帮_类似_携程_不过要_吃_寒碜_联系_啥吃_订_吝啬于_
