Serial,Aspect,Opinion(List)
343,服务,大_告诉_别去_不能_有_不开心_加床_不答应_不愉快_分明_就定好_能_得到_出去_到_提前_说_能_并且定_帮忙_开_就是_沟通_把_解决_就是_不给_加_不能_闯_才得到_非常差_才加进_解决_后来打_不好_加床_空_都搬_发现_建议_真是_没_
344,地理,优越_相当不错_
345,朋友,听说_入住_来_游玩_选择_很便利_
346,南京,是_合作_不得_属于_星级_比较早期_怪怪_怪_才知道_就取_有_
347,酒店,选择_没有_没得_
348,自助餐,需要_同往_就知道_进_付_是_带_
349,房间,很大_很有_不是_
350,房间,
351,宾馆,就是_很不错_不太好_相当到位_太好_
352,装修,不够_不耐看_精致_低俗_还以为_甚至有_不注意_进_装修_不够_
353,装修,还是_说_是_升_要_
354,酒店,可口_不错_比较不便_相当实惠_不多_处_只是搭乘_
355,北京,很不错_
356,房间,接受_得到_都听_可以_很大_非常差_
357,酒店,就是_紧张_停车_很好_停车位_不错_有_少_
358,前面,是_不是_一样_住_
359,酒店,办事_不缺_比较少_最边上_适中_比较有限_入_较差_就是_是_比较低_还可以_还算_还是不错_自助式_到位_最方便_但去_是_
360,优点,比较先进_就是_会_突然没有_
361,字,有_不知_只住_不看_吃_不能_别说_连坐_会_没_看_住_拿单_该_说_没_不会_就说_告诉_管_在修_纸记_早上吃_要_是_好_当埸小便_
362,事,看_童似_很少_也没有_不如_不见_看_自顾自聊天说话_
363,海景,不错_最好_属于_
364,酒店,极其不便_较差_
365,酒店,很舒服_不好_住_很小_好_是_上_有_取缔_贵_上当_认为_去_属于_三星级_小_多能够_
366,服务,非常到位_提供_是_
367,房间,是_是_做_不会_却被_不要_怎么管理_挂靠_没有_却反馈_不到_反馈_给_告知_再考虑_到达_预订_没有_不真实_明明是_不知道_入住_已经没有_却搞出_
368,服务,正在肯_小_还以为_带去_发现_还可以_住_觉_咯吱_是_不好_惊醒_才跑_咯吱_被_还不错_一开_对视_一入_
369,标准,反而出口_蛮横拒绝_打折_就涌_入住_串门_不堪_错_类似_忍_有_去_更让_让_旧_住_扫地_完全是_用_交涉_碰到_破烂_换_感觉_想想_把_极差_只住_根香烧_出门_总_发现_发现_下来_能_总_气愤_是_上来_提出_伤_
370,地段,相当不错_得到_不小于_职业_使_希望_这牵涉_有_可能_下水_没有_报修_良性发展_可能_住时_再住_没有_服务_考虑_总_还会_出_专业_到_整夜发出_不够_特提醒_会_影响_
371,总体,不错_有所_感觉_
372,房间,才更换_不懂_改_宝贵_豪华_不能_给_说_岂有此理_真是_听_订_反馈_改正_却告_只有_谢谢_明明有_会_以为_老旧_干净_
373,交通,好_就是_太热_不错_服务_值得_
374,天府,比较合理_
375,单人,早餐不错_碰到_值_撒_不能_很人性化.呵呵_预定_没有提到_使用_
376,主楼,够_就是_服务_送_非常舒服_就能_自助_够大_还算新_也不错_非常满意_就是_不错_也不错_
377,隔音,不用_都有_是_是_不知道_都是_有_都一清二楚_住_休息_很差_
378,南京,很贵_很无可挑剔_选来_还是_能_谈下_选去_但愿_还是_就是_更优惠_
379,接线,很好_说_才入住_
380,汤口,无疑是_
381,酒店,陈旧_就是_很简陋_一般_未_
382,地理,逛_比较方便_比较便捷_
383,朋友,让_想想_离_来_就推荐_
384,酒店,满_服务_好像是_住_还满_旋转_有_不错_觉得_比较好_
385,周边,服务_太高_较差_慢_还可以_
386,房间,很方便_很好_主要是_能_
387,酒店,超难_不到位_有点旧_不方便_服务_
388,标间,都住_不是_挂_怪_不停_交_上网_怪怪_主要是_奇_快_还要_太刺激_能_上网_发出_
389,酒店,略显贵_有_感觉_不错_考虑_到_住_
390,房间,服务_太先进_还可以_太陈旧_
391,孩子,一打开_反思_应该_乱摁_去_不堪入目_怎么可以_怕_只有把_器藏_起来_就是_
392,房价,可以_号称_非常贵_又少_住_没有_想_烧_去_打_吃_都要_不好吃_附带_老旧_吃_几乎没有_看到_说_超难打_很低档_很远_
393,风格,不合格_烧_掩盖_不足_不周_到_蛮精致_狭小_很重_恐怕是_还是_但是有_
394,酒店,感觉_有_很浓_
395,宾馆,不贵_可能_繁华_还是可以_不是_
396,宾馆,还过_见_不符合_给_总_去_只有_最小_要求_订_特重_不行_是_
397,豪华房,显得_有些陈旧_还是_
398,协助,网_感到_
399,重点,推荐_星级_住_得知_
400,环境,离谱_也一般_小_小_服务_很老旧_
401,房间,很好_已经收到_留下_谢谢_赞_
402,酒店,比较旧_比较长_是_应该_
403,客房,需要_很远_走_不方便_到_到_弯弯曲曲_
404,酒店,洗澡_一般_是_没法睡_安排_会_涨_订_太差_要_给_希望_携程_未评星_应该_最差_更可气_一样_多么难受_知道_没睡_起来_是_严格审查_吵_服务_
405,环境,很旧_便宜_是_给_很破_不好_最小_是_携程_是_可_老_说_很吵闹_有_
406,人间,小_很完备_还是_有_
407,九洲,感觉_号称_没别_太大_换到_
408,总体,脏西西_就是_好找_藏_很重_不是_感觉_不好_感觉_
409,单人,小_用_基本够_有_
410,方面,都不错_较小_
411,硬件,请_再订_敲门_不会_打出_勿打扰_都一般_不舒服_
412,酒店,口路_是_不是_相当远_回去_又折_最后问_没有发现_是_入住_过_为_
413,酒店,不温馨_送回_进出_不住_打_不好_太差_太小_喊_把_最可气_钻_是_一直有_
414,网友,选择_是_不怎么样_还没有_
415,酒店,是_很小_然后乘_到_进入_
416,经历,才发现_还行_还行_点评_快捷_接受_基本上能_怎么睡_感觉_吵_受_到_在跟_就去_说_睡觉_还有_超小_好像感觉_是_别住_有_以后打死_还是_比较强烈_震_好_才是_感_感觉_到_都是_差点被_换到_不了_所以到_是_还是能_住_毁掉_不住_还是要_开始_怎么休息_差不多_
417,酒店,要_接线处_已坏_发现_小_注意_锅_还有_送房_
418,里面,比较一般_太旧_觉得_住_太好_使_洗_太干净_
419,设施,不是_招待_就是_一般_
420,房,很大_小_有_有_专门_洗_也有_还有_很新_很漂亮_一样_大_
421,洛阳,也不错_还是不错_服务_也可以_
422,房间,支付_再安排_需要_这样_还要_很大_住_算_没有_是_去_有_相当陈旧_还可以_很一般_住遍_先结算_没有遇到_只能_不会_
423,设施,可以_服务_
424,设施,比较旧_
425,房间,讲_双层_定_极大_加装_太差_
426,店,很好_难找_也算_完备_接送_拥挤_难找_感觉_住_数次颠醒_一路上被_
427,天,没有_没有_
428,先生,刷_还打算_给_竟然可以_不会_卡_不是_发现_要_实际是_回复_最后会_当做_真是_撕_刷卡_结账_将入住_另外找_走_不知_没注意_不知_在离开_一般_8/29入住_仔细想想_打_提供_离开_是_回来_都要_会_不知_就用_都没_不了_跟进_又说_给_怎么样_点评_到_补充_
429,网络,换住_更应该_都是_连锁_尤其是_预订_提供_不能_合情合理_灵活_
430,酒店,对_五星级_可以_还算_起_
431,手续,不是_不推荐_不佳_服务_太好_花_
432,客房,好_服务_很丰富_够干净_
433,房间,没有给_是_是_很吵_可以_使用_很重_没有给_让_定_定_总_当闹_失望_很清楚_听_结账_盖_
434,宾馆,入住_方便_是_就是_一定要_建议_要_很响_远离点_这样可以_尤其半夜路_出现_很方便_很大_选_
435,酒店,背_也没有_非常简陋_关键是_不敢_帮忙_开_就是_无障碍_不满意_休息_更没有_招待_改建_
436,房间,太差_再选此_没安装_有_再去_不会_
437,四星,不提供_符合_无法打_免费_有_瓶装_不知_才代理_服务_到_免费注册_远_不提供_说明_诚聘英_不提_瓶装_缺_
438,酒店,新_健康_还是_是_比较老_很值_比较陈旧_不是_一般_很小_所以感觉_还是_坏_来_
439,性价比,满意_难以令_增加_主要体现_希望_
440,位置,不行_可服务_挺好_
441,床,非常好吃_太差_赠送_发出_吱嘎_
442,服务,差_太差_有_不错_
443,奥运,近_不住_
444,VPN连,不错_把_设置_表扬_
445,龙,是_管理_原本看上_是_
446,门缝,都要_叮.晚间有_太阔_一样_被_又潮_又湿_是_最差_
447,宾馆,冷_深感_有_不着_还说_凉_潮湿_开业_停业_高_反馈_睡_暖和_带来_提出_较大_让_首先感谢_不足_会_可能_入住_觉_
448,地理,很好_使用_经常拒绝_差_差_大_无法下箸_
449,芜湖,看_这样_爱好_住_住_有_订_不过去_之后觉得_住_要_应该_窗前有_好_还算不错_大_吃_住得_心有余悸_不好_
450,好评,再让_再来_决定_再体验_决定_失望_不打算_住_
451,酒店,还是秉持_临_较高_比较旧_入住_可以_有_
452,房间,太小_不清楚_
453,房间,尚可_还满意_很大_
454,房间,是_吃饭_差_脏_可能_坏_下次来_不等同_总结_了_出来_是_乱_搞_怕怕_不住_没放_坏_好像没有_是_
455,酒店,不得不吃_很小_只距离_还算_提出_协调会_可_小_不错_专门召开_还收600多_都困难_才打开_入住_粗糙_反馈_可以_进行_豪华_工作_大_是_可房间_竟然没_只吃_弄_非常抱歉_以为_住_带来_是_
456,房间,
457,酒店,还好脏_进_设置_确实旧_换_都有_还有_附送_送_每到_可以_很温馨_不错_带_好破_保温_
458,价格,也无所_属于_有_比较方便_适中_小_
459,酒店,住_很熟悉_经常入_
460,问题,是_是_不好_很潮_旧_
461,月阁,只有_又好_放_更好_又大_都没_敢_写_又小_便宜_玩_又好_住别_失望_可以_都是_留着_去_又便宜_提前预定_说_建议_太多_把_
462,人,难以忍受_充点评_
463,价格,住_贵_
464,房间,比较舒适_整洁_良好_还是_明亮_
465,酒店,太烂_大型_是_很差_
466,标房,收费_有时会_都是_这样_没有_窗看_换_到底_还会_是否_免费瓶装_强烈要求_很美_再去_大_推开_给_订_然后换到_肯定会_有_不知道_突然不制_冷_上网_
467,楼下,很偏僻_打车_说_住_实在是_想_出去_吃_还要_不值得_
468,外观,还干净_小_另外收_
469,酒店,非常一般_很老_不复合_
470,整体,没有达到_比较慢_五星级_
471,酒店,有点像_又小_又脏_实在差_太差_
472,地理,逛_比较方便_比较便捷_
473,服务,很好_
474,酒店,大方亲切_彬彬有_
475,酒店,不满意_有_
476,前台,不错_响应_会_合理_有_能_很有_推荐_很快_
477,态度,不着_还不错_很差_不同_很小_说_吵_睡_还漏水_退房_也许是_
478,房间,很大_干净_但没有_还算_
479,酒店,是_健康_一般_坏_不是_很小_新_比较陈旧_来_还是_还是_所以感觉_比较老_很值_
480,酒店,并没有_不怎么样_都是_住在_用_搪塞_收费_害_寄存_不是_怕_提出_公用_携程_不高兴_都有_没敢_很失望_怕_好有_而是_很好_不是_一下公用_付钱_找_睡觉_感觉_很一般_很近_不好_徒步爬_满足_不过话_有_说_服务_回来_都收费_不悦_倒_乱七八糟_很是_打搅_搞笑_甚至说_到_跑_拿_但做车_就有_比较方便_还摆_离_不方便_很干净_却搪塞_
481,价格,不低_很小_糟糕_感觉_不高_早餐难吃_
482,公寓房,不适合_差_入住_
483,飞机,良好_不算_入_出门_挺客气_还敲下_很大_挺快_打_很合理_很慢_事先询问_一定要_足疗_走_不要_很简单_会_指_用_有_来_人往_到_有_肯定会_把_到_遇上_值班_要_收到_打_过来_招呼_也满足_够_还有_睡_有_不靠_走道而言_关心_铁定_预定_很简洁_干净_就能_也合适_要_听见_经常断_还有_就是_敲门_不错_足够_挂_出去_都会_就来_比较差_问_打_
484,床,太小_半夜来_早_够_干净_星级_淋_还好床_是_很怀疑_差_处理_堵塞_
485,酒店,正好是_出差_办事_
486,晚,小_再_不错_很不错_是_让_相信_比较舒服_很不错_是_住_觉得_
487,酒店,就有_还不错_
488,酒店,无缘入_也一般_步行_住_装修_提醒_只是_太不值_还是内部_恐怕携程_已经落后_是_不如住_
489,房间,略显_简陋_还有_有_还是_很不错_
490,旅馆,完_硬_赶紧走人_进门_梳_很肮_刚洗_擦洗_去_很肮脏_刚开_很生_出_都有_不是_换到_太可怕_小_很小_大_发现_所谓_消毒_连梳头_不想_动手_吃_脏_
491,房间,很小_都不如_相差无几_
492,房间,还算_干净_很大_但没有_
493,酒店,说_不负责任_打给_没有接到_说_订_还答应_打_到_打_说_实在是_不要_不说_打_没有接到_随便住_可能_接_完全是_要_没有接到_建议_实在是_说_住_晚点_上_说_回来_是_差_无法联系_可以_到_完全没有_太差_还好意思_
494,酒店,很好_还不错_
495,喜来登,确实不错_五星级_标准_是_
496,房,怎么无_协助_给_给_及时发现_换房_还是_结果忘_未给_值班_投诉_要_遗留_回复_回复_及时通知_不知四_说_投诉_打_并要求_
497,网上,是否_还给_问_入住_打_扣_要_套_住_订_只入_
498,卫生间,偏贵_打_要_有_走_招呼_不方便_
499,服务,尚可_感谢_也会_但被_努力_颇为陈旧_欢迎_反馈_服及_服务_再次光临_
500,国情,比较高_还是_
501,设施,感觉_不想_装修_
502,兰州市,有_有_请问_问_是_因离_快快退房_到_〞_要_说_到_问_比较远_竟然问_不需要_是_要_也花_是_问_很冷_也是_就到_进到_有_看_说_太晚_完全感受_多要_说_只有_认为_太冷_太勉强_比较偏僻_１１元_打_也无能为力_停_选择_问_可以_登记_不想_帮_不是_遍_需_加上_去_当时发现_好选择_问_充点评_说_最没有_２楼吃_最差_为什么要_没有_吃_３３０元_不要_含_就算_帮忙_不到_不知道_不合理_服务_说_早餐_可能_打车_都是_就感到_特奇怪_是_是_可能_〞_订_受气．补_开始_但是没有_多说_入住_打车_才找到_没有_还要_而且找_
503,酒店,为_经济型_如家_是_还称_
504,星,没有_修_补充_没有服务_还算_中等_都懒_到处空荡荡_大_跟_住_都差_舒适_没有_浴缸_似_至少是_很差_最差_服务_叫_多是_已经脱_点评_坏_没有_来_
505,标准,较大_服务_不错_
506,酒店,可以_就是_太好用_看到_不错_很热情_还是不错_
507,酒店,只能_后续改建_住_是_登记_很小_是_买_应该_洗_成_只有_用_违章_直呼其名_是_是_到_还臭_一看_到_说_甚至可能_所谓_在叫_
508,房间,一般_还算_住_值得_
509,酒店,说话_不方便_非常茶_快速_不含_听_住_只是_外出_所谓_不好_只好躲_太好_比较陈旧_620NET_打_服务_太没有_是_是_很有_少_非常清楚_携城_
510,酒店,尚待_也好_很近_
511,宾馆,不太好_很不错_就是_相当到位_太好_
512,星,没_要_很慢_进去_再去_进_不会_住_打_管_
513,酒店,简陋_肮脏_绝对是_可怕_
514,地理,好找_很方便_出差_
515,价格,够好_太高_
516,长宁路,太长_
517,酒店,很不错_住_比较合适_去_推荐_
518,月,很方便_当然好啦_已经住_
519,时间,比较安静_临街_太大_所以服务_有_没有_很不错_住_是_很长_还是_
520,酒店,怎么评_住_没有_下来_订_也许是_是_正好下雨_要_很少_只有_也掉_在漏水_搬行_不知道_是_吃_去_就是_要_不坐落_
521,服务员,5:00离开_让_很热情_体贴_十分温馨_准备_感到_
522,环境,挑剔_没_可_都不错_
523,单人,很小_
524,位置,不错_比较大_
525,服务,还可以_很方便_想_倒是_吃_饿_别住_一般_不方便_睡_般_坐_吵_好觉_已经搬家_
526,整体,感觉_有序有_规范_很破旧_热_收费_很齐_递交_有_吃_收到_而且排列_很陈旧_右_出门_而且有_起码能_很干净_很脏_还要_让_错有_过_有_很周到_过_还有_饱_很少_不到_亲切_不方便_
527,硬件,大_很吵_不符_挨_太旧_偏高_
528,大床,看到_一点高级_
529,酒店,不到_勉强入住_赣电_定_
530,当地,联系_实在找_于是想_高挂_入住_都知道_用_没有_没有_下楼_感觉_找_有点成旧_手试_去_只得_发现_挺高_有_不到_
531,房间,陈旧_全是_
532,安全,忘_正好看到_就叫_开_
533,三亚,大_纱照_拍婚_是_一起去_组织_去_度假_
534,酒店,大_洗_免费帮_住_象_再来_以后有_想_还住_洗_有_有_还有_要_真的不错_送_给_帮_
535,招牌,衷心祝_推出_反馈_再住_基本属于_有_不会_促销_保持_再次下榻_星级_欢迎_感谢_将一如既往_一般般_顺利_新_下次应该_
536,饭店,整洁_只能_用_很小_形容_比较旧_比较干净_
537,天津,最差_玩_
538,房间,有_很可怕_各种各样_铺_缝_浴到_恶_见_不干净_做_少见_宽敞_亟待改进_小_几乎放满_黑色_所以可以_收费_坐_办_填满_入住_是_宽敞_很舒服_半躺_高雅_套_
539,四星,不值_
540,酒店,高_比较齐_太方便_较高_不错_停车_而且收费_
541,酒店,零星级_星级_
542,交通,不是_不方便_不方便_
543,按摩,再打_无法用_搞_照样打_不要_拖_交押_一定要_很烦_不然存放_取钱_告诉_打_
544,服务,终于忍_换_太差_这么贵_太旧_不到_不住_根本达_还要_
545,酒店,转_好找_很安静_没看到_才找到_长_1600弄_
546,星,或没有_降到_就这样_
547,缺点,评价_非常慢_比较老旧_只是大扫除_
548,网上,就开_入住_住_要_预定_没有问_
549,香港,订购_办_很方便_
550,拱北,豪华_不错_太小_好_
551,酒店,住_贵_比较简陋_太有_入_
552,湖景房,也收拾_很干净_就是_很不错_稍旧_
553,四星,没按摩_倒是_有_
554,饭店,表扬_要_快速有_周到_星级_有_服务_非常服务_
555,优点,没有小_没有_送_不错_也算_在装修_还行_很棒_稍有陈旧_完全睡_被_极差_很热情_就开工_隔壁_非常好_都有_不着_有_非常丰盛_很快_吵醒_来_没有_从别出弄_特地帮_比较有_方便_房送_说话_
556,酒店,不方便_没有_
557,房间,有些陈旧_
558,北站,很干净_很近_相对没有_长途_不含_
559,服务,旋转_欠_很差_不转_太旧_
560,优点,软_很舒服_
561,位置,不是_打_到_太好_
562,携程,并不高_
563,农历,理解_out_很重视_不了_取_不错_十分混乱_预订_较简陋_服务_净洁_是_还可以_感觉_使_害_取消_入住_苦等_做_唯一可_就走_还是住_用_很礼貌_唯一_不考虑_下订_再入住_有_
564,入住,给_曾打_没找到_申明_找_需要_提前预订_接机_来接_仅供_参考_托_
565,个人,所谓_是_甚至看到_大_不好_只能_有_是_感觉_顺_牵_好像有_不专业_还是_找_感觉_有_都没有_
566,超差,来_不着_建议_开_不要_找_住_
567,酒店,没看到_好找_长_很安静_1600弄_才找到_转_
568,行政,选择_以下_不方便_需_给予_达_还算方便_不远_套房_是_更能_反馈_宝贵_符合_满意_还算_较久_久有_想_共享仅_仍有_有时要_提供_简易_或许装修_能_就是_中_严重泛黄_等_有_有_较久_感谢_
569,地理,在_佳_
570,酒店,被_接_给_之后派车_真好_截_
571,酒店,是_比较有限_入_还是不错_但去_还算_到位_最方便_就是_办事_比较少_最边上_还可以_自助式_是_不缺_较差_比较低_适中_
572,上面,有些不安_
573,酒店,就是_小_很旧_很小_
574,酒店,想_更差_改为_尝试_大_住_再住_反馈_原订_不会_决定_造成_
575,酒店,很舒适_不错_
576,山西,定_
577,观景房,轻轨_太低_很近_不到_住_看_很好_
578,海景房,入住_好找_没有_又把_靠_是_就是_太小_都是_稍好_也是_到_可惜_偏高_不知是_开热水_太大_入住_烫_要_死_
579,客人,觉得_已经住_继续_保持_希望_挺不错_
580,酒店,比较方便_有_去_方便_还是_比较新_
581,房间,以前有_是_睡_找_还是_还有_不着_黑黑_不知道_不到_不是_连倒_干净_出来_煲_没有_投诉_没洗_有_就拆_都有_
582,酒店,非常差_很浓_有_
583,意见,感觉_很舒服_很暖和_蛮大_是_很近_特别关注_很干净_有点旧_还算_如下_盖_
584,酒店,不好_漏风_住_排_
585,特价房,做事_排出_不隔音_住_出来_见面_走到_基本是_相同_听见_还有_很清楚_隔_主要考虑_都能_在_非常小_才去_用_临近_很差_就是_
586,人,深刻_比较低_
587,13楼,是_很旧_很吵_如家_不及_所以到_久远_很差_有_太好_还是有_还有_是_
588,酒店,又脏_可以_还算_接受_又旧_
589,房间,没有_比较旧_不错_
590,实话,新_携程_星级_根本比_可_吵闹_没到位_有_不明白_携程_老_不好_携程_便宜_定_说_不会_不相信_点评_不上_大_定_是_不怎么_启用_
591,房间,较大_比较宽敞_星级_
592,人,仔细核对_打_也好服务_有_还会_好_说_结果好_还心有余_不得了_评价_真的是_
593,热水,还要_还可以_爬山_太郁闷_
594,酒店,越来越差_收费确是_欠_一样_杀_每去_不知_酒店去_只能_一样_
595,设施,紧邻_推荐_吃饭_自带_不放便_不错_太差_很不错_
596,环境,很干净_不错_
597,网上,更让_询问_非常感动_回去_感到_入住_买_太好_较近_之后感觉_不至_发生_要_到_还接到_有_返程_还帮_输液_选择_异地_不是_并叮嘱_拨打_多注意_只要到_给予_所以选择_及时帮_身处_可口_入住_一定要_彬彬有_入住_送上_让_关心_陪_到_感觉_吸氧_还将_突发_十分便利_提供_服务_行行_好转_还不错_临_
598,酒店,告诉_非常愤怒_更低_让_入住_携程_满墙_能_恶心_热情_给_签_死_而且没有_是_
599,彭年,停车_有_不方便_很多_感觉_太处于_尤其脱离_差_
600,感觉,很安静_还可以_也好_
601,酒店,超级恶劣_
602,九江,算是_难得_
603,酒店,非常差_有_很浓_
604,房,延迟_坐_离_坐_只是希望_打到_一样_非常有利_可_太贵_可以_还是有_是_打_早餐收费_
605,酒店,而是_典型_很有_不是_很清静_还算_选择_方便_是_
606,拱北,有_送到_没有到_有_了解_吃_酒店安排_可以_不错_步行_充足_改住_到达_很大_要_有_豪华_开始_多够_很方便_预定_太小_到_出发_
607,酒店,每去_一样_只能_欠_一样_不知_杀_收费确是_酒店去_越来越差_
608,迪斯尼,很方便_没来_来到_找到_入住_过_不见得能_
609,酒店,巾洁_较一般_但被_服务_白_
610,酒店,还会_入住_小_不错_
611,长宁路,太长_
612,复试,不方便_不错_感觉_很好_需要_就一般_就是_就可以_就有_出门_躺在_看见_前台_
613,酒店,欢迎_感谢_还有_很方便_一般_基本为_一般_宾馆反馈_再次试住_应该_新装_
614,设施,不想_装修_感觉_
615,酒店,也撤资_旧_
616,印,干净_整洁_很好_时尚_很快_
617,房间,用_相信_看_是_巾千万别_很脏_不会_用_发现_要_并踩死_假_自备_
618,优点,比较安静_高_不高_加上没有_好_比较合理_温馨_简洁_不足_
619,大堂,住_很舒服_不怎么样_可_
620,酒店,不知道_较优越_怎么走_较好_
621,中归,住_下次来_接受_还会_特别好_还能_应该_
622,价格,小_也无所_比较方便_属于_适中_有_
623,设施,太陈旧_很差劲_恶劣_
624,房间,略显_还有_有_很不错_还是_简陋_
625,期间,还是_还放_一样_豪华_开阔_一看_订_到_豪华_位_
626,房间,可能比_更高级_很不错_不上_
627,卫生间,特别小_
628,酒店,差_不热情_对待_
629,性价比,就算_背_很方便_太认识_又是_有_可以_不是_
630,店,算_进入_满_一圆_大_恶_就是_是_粗_来_完全没有_住_进门_勉强能_是_爬到_有_老_被_不言而喻_应_感觉_最要命_大_完全翻新_最贵_很大气_改_怀_
631,设施,再检查_唯一洗澡_但对_请_反馈_服务_完善_比较严重_挺好_会_维护_洗澡_很不错_旧_首先感谢_忽冷忽热_谢谢_现有_
632,地理,仅需_步行_不愧是_
633,服务,位于_也高_很好_
634,酒店,熏_没有住_出来_就被_开_不见_老臭_减少_一进_这么小_大床_
635,星,多是_感觉_
636,中银,非常好_
637,服务,乱收费_不好_收取_
638,预定,不满意_仍然收取_有_到达_可_
639,房间,太小_洗_令_说_一样_是_拖拖_还好_就像_以后没有_有_就是_吐_想_完_
640,设施,是_住_补充_傻_不在_说_差不说给_不负_饱受_简陋_公共_严重鄙视_个个装_找_未果_折磨_干涉_忘_巨大_推说_
641,酒店,还需要_很好_收费_是否应该_改进_宽敞_还是不错_整洁_柔和_
642,理由,差_反复打_坏_不选择_停_无_才要_住_来_浩海_是_
643,酒店,
644,南方,不好_是_迎宾_这给_让_宾至如归_询问_可_接着推荐_高_以为_娱乐_去_有_
645,酒店,偏暗_压抑_刚装修_偏低_有_给_很漂亮_
646,房间,太差_
647,环境,不错_
648,酒店,恶劣_太利害_不符合_几乎没有_考虑_不符_星级_
649,大床房,靠_好逛_顺便搞_有_还放_免费_马上介绍_可以_免费_有_在经营_有_很好闻_很热情_看_不错_还是_表扬_挺美_出_入住_很喜欢_挑_大洋_是_买_也漂亮_要_借_问_帮_SHOPPING_有_还有_可以_登记_有_
650,酒店,要_比如家_觉得_筹_高出_
651,时候,入住_非常好_都不错_
652,电话,给_还总_问_不好_
653,房间,很干净_
654,天,没有_没有_
655,整体,感觉_住_还会_推荐_是_还不错_忘_
656,商务,去_买_不正规_包_买_最后中断_拉_突然说_有_
657,床房,非常满意_
658,房间,说_好_收费_停车_怎么体验_小_还要_不知道_是_很重_
659,公司,接近_较近_所以选择_普通_很有_
660,交通,稍显简陋_基本到位_但值得_
661,方面,值_都一般_太高_还可以_
662,无锡,配制_干净_液镜_粗心大意把_住_入住_掉_可_是_间接提升_很贵_感觉_回来_赞_如下_马上送回_都是_最值得_还有_不是_很难得_捡后_
663,山西,定_
664,房间,却没有_预订_太大_很陈旧_只能_住_大_
665,价格,居然没有_老旧_
666,离海,不是_老式_很近_老式_很新_
667,市内,要_不过到_偏远_不错_打车_才发现_比较满意_
668,服务,还可以_好_
669,吉林市,找到_最好_
670,酒店,也没有_帮忙_不满意_就是_无障碍_休息_非常简陋_关键是_更没有_改建_招待_不敢_背_开_
671,酒店,可以_五星级_还算_起_对_
672,携城,接机_豪华_折_打完_是_到_蛮准时_还算不错_服务_预定_是_
673,服务,差_勉强有_更好_偏低_偏低_偏长_供_薄_星级_薄_
674,酒店,再选_不会_要_不是_肯定_靠近_襄樊_没有_连锁_
675,酒店,
676,房间,合适_比较旧_
